Date,BTC,BCN,XRP,SYS,LTC,BTS,MAID,XVG,MONA,XLM,XMR,DGB,DOGE,DASH,NXS,XEM,ETH,SC,REP,CCI30,BITX,BITW20,BITW70,BITW100,VTI,VNQ,VEA,BND,DBC,GLD
2/16/17,1027.439941,5.50E-05,0.006027,0.011034,3.786809921,0.004064,0.205932006,2.20E-05,0.027341001,0.002139,13.10210037,0.000257,0.000207,19.51740074,0.096403003,0.007039,12.90369987,0.00036,4.947040081,353.79,1018.93,1064.27,1386.05,1033.13,112.4992142,70.98114777,34.39458084,72.42832947,15.36120701,118.0800018
2/17/17,1046.209961,5.30E-05,0.005935,0.01092,3.830359936,0.004138,0.196476996,2.50E-05,0.028021,0.002093,13.29590034,0.000251,0.000209,20.00169945,0.107441001,0.007113,12.67650032,0.000357,4.92016983,355.585,1033.44,1032.73,1418.9,1047.64,112.6664047,71.11698914,34.27874756,72.59858704,15.332057,117.6800003
2/18/17,1054.420044,5.20E-05,0.005569,0.010243,3.79102993,0.003998,0.199616998,2.20E-05,0.028425001,0.002021,13.36159992,0.000242,0.000197,21.40740013,0.099831998,0.006863,12.81019974,0.000349,5.064720154,355.827,1053.04,1038.85,1421.77,1067.59,113.3351135,72.02537537,34.43022156,72.58964539,15.31262589,117.75
2/19/17,1047.869995,5.20E-05,0.005878,0.010851,3.76225996,0.004021,0.190979004,2.20E-05,0.027565001,0.002014,12.99380016,0.000252,0.000208,22.54730034,0.097654,0.006352,12.7585001,0.000339,5.190400124,354.424,1057.18,996.09,1367.33,1071.61,113.3351135,72.02537537,34.43022156,72.58964539,15.31262589,117.75
2/20/17,1079.97998,5.10E-05,0.005873,0.010359,3.767659903,0.004012,0.189976007,2.20E-05,0.028179999,0.002052,12.22049999,0.000252,0.000207,21.58790016,0.096895002,0.006559,12.43010044,0.000324,5.053420067,355.011,1052.18,1005.14,1376.34,1066.83,113.3351135,72.02537537,34.43022156,72.58964539,15.31262589,117.75
2/21/17,1115.300049,5.20E-05,0.005832,0.009881,3.783279896,0.003844,0.180030003,2.20E-05,0.028228,0.001997,12.33689976,0.000235,0.000208,21.24559975,0.092497997,0.006326,12.66839981,0.000334,4.638000011,357.394,1075.72,977.37,1404.4,1089.44,113.3351135,72.02537537,34.43022156,72.58964539,15.31262589,117.75
2/22/17,1117.439941,5.40E-05,0.00586,0.009829,3.805219889,0.003789,0.180003002,2.20E-05,0.028367,0.002008,12.76519966,0.000236,0.000202,22.12150002,0.091315001,0.006388,12.59969997,0.000318,4.727469921,359.426,1107.47,965.65,1361.72,1120.88,113.1865082,71.78765869,34.40349579,72.63442993,15.23489571,117.9100037
2/23/17,1166.719971,5.90E-05,0.005895,0.010117,3.842950106,0.003816,0.188446,2.40E-05,0.029174,0.001927,12.8718996,0.000247,0.000208,25.22139931,0.094371997,0.006853,13.11940002,0.000328,4.865940094,371.475,1108.54,958.93,1348.37,1123.58,113.1029282,72.16121674,34.46586609,72.76886749,15.28347588,118.9400024
2/24/17,1173.680054,5.90E-05,0.005701,0.009718,3.84671998,0.003905,0.178305,2.40E-05,0.030238001,0.001885,11.9218998,0.000235,0.000208,26.20229912,0.082359001,0.006571,13.06919956,0.000328,4.720180035,369.536,1163.17,1004.09,1380.57,1177.82,113.2886734,72.50079346,34.17181778,73.03768921,15.25432873,119.6999969
2/25/17,1143.839966,5.70E-05,0.005665,0.010799,3.826109886,0.003889,0.165158004,2.40E-05,0.030187,0.001881,11.84840012,0.000241,0.0002,26.75900078,0.085398003,0.00634,13.54870033,0.000311,4.741809845,365.216,1159.77,972.45,1361.79,1173.47,113.5394287,72.88282013,34.18964005,72.88535309,15.21546364,119.1200027
2/26/17,1165.199951,5.60E-05,0.005671,0.010885,3.826719999,0.003801,0.175600007,2.30E-05,0.029441999,0.001875,11.88860035,0.000267,0.000203,28.10619926,0.089023001,0.006447,14.52000046,0.000327,4.907730103,373.469,1138.38,971.46,1388.94,1152.79,113.5394287,72.88282013,34.18964005,72.88535309,15.21546364,119.1200027
2/27/17,1179.969971,6.00E-05,0.005609,0.010964,3.802740097,0.003794,0.180699006,2.40E-05,0.029395999,0.001774,11.96039963,0.00027,0.000208,28.17650032,0.088950999,0.006415,15.39649963,0.000322,4.795259953,378.142,1161.17,975.46,1385.72,1175.93,113.5394287,72.88282013,34.18964005,72.88535309,15.21546364,119.1200027
2/28/17,1179.969971,5.70E-05,0.005536,0.011303,3.770989895,0.003541,0.176771998,1.20E-05,0.029702,0.001843,12.27649975,0.000248,0.000205,32.50690079,0.081914,0.007034,15.81719971,0.00032,4.544859886,381.548,1184.39,975.63,1371.95,1195.14,113.1214905,72.38192749,34.10944366,72.831604,15.2737608,119.2300034
3/1/17,1222.5,6.00E-05,0.005408,0.010872,3.798899889,0.003472,0.167771995,2.50E-05,0.033438001,0.001724,12.33119965,0.000244,0.000203,42.53789902,0.083366998,0.00785,17.34970093,0.000356,5.105619907,400.941,1188.1,978.05,1362.58,1198.9,114.6446304,72.16121674,34.43914032,72.53349304,15.34177303,119.0599976
3/2/17,1251.01001,6.20E-05,0.005991,0.010783,3.924230099,0.003629,0.162880003,1.30E-05,0.043175999,0.001787,13.11359978,0.000238,0.000205,42.44010162,0.092932001,0.008818,19.03019905,0.000397,5.778880119,411.716,1242.24,996.38,1347.27,1252.18,113.9109268,71.77068329,34.22527695,72.39880371,15.09887028,117.5800018
3/3/17,1274.98999,6.10E-05,0.006339,0.010655,3.920819998,0.003592,0.167530999,2.60E-05,0.048686001,0.001763,13.91049957,0.00023,0.000211,47.37519836,0.092795998,0.008887,19.45899963,0.000383,5.739900112,421.951,1274.95,1007.04,1349.59,1287.13,114.0037918,71.49053955,34.39458084,72.45266724,15.1765995,117.5100021
3/4/17,1255.150024,5.00E-05,0.006299,0.011075,3.884000063,0.003447,0.169507995,1.30E-05,0.051855002,0.001753,13.67280006,0.000226,0.000205,43.37519836,0.094476998,0.009567,18.6189003,0.000363,5.571690083,416.961,1305.23,1014.32,1362.53,1317,113.5579987,71.1679306,34.27874756,72.40778351,15.15716743,116.7200012
3/5/17,1267.119995,6.10E-05,0.006129,0.01117,3.901560068,0.003546,0.167538002,2.50E-05,0.043675002,0.001738,15.1814003,0.000216,0.000206,42.31079865,0.097032003,0.011338,19.3022995,0.000349,6.108960152,426.574,1277.53,1004.73,1340.33,1289.12,113.5579987,71.1679306,34.27874756,72.40778351,15.15716743,116.7200012
3/6/17,1272.829956,5.10E-05,0.006057,0.011079,3.92140007,0.003638,0.163866997,2.50E-05,0.042567,0.001876,15.4126997,0.000226,0.00021,46.4966011,0.100601003,0.010823,19.60569954,0.000378,5.968550205,429.299,1291.99,1017.74,1389.18,1306.19,113.5579987,71.1679306,34.27874756,72.40778351,15.15716743,116.7200012
3/7/17,1223.540039,5.80E-05,0.006534,0.011421,3.821480036,0.003679,0.156423002,2.40E-05,0.045938,0.002011,13.53390026,0.000244,0.000209,45.68349838,0.106028996,0.01097,18.8885994,0.000346,5.757880211,416.255,1301.06,1055.64,1409.58,1315.81,113.1958084,70.82833862,34.18964005,72.27310181,15.08915329,115.7799988
3/8/17,1150,4.60E-05,0.006509,0.010574,3.776000023,0.003675,0.138035998,1.30E-05,0.042769,0.001835,12.47210026,0.000219,0.000208,42.32709885,0.09505,0.009314,16.65130043,0.000326,5.301010132,388.438,1251.21,1040.22,1369.94,1266.47,112.8800125,69.52096558,34.01142883,72.10244751,14.74909019,115.0599976
3/9/17,1188.48999,5.70E-05,0.006498,0.010621,3.838419914,0.003599,0.153571993,2.40E-05,0.041721001,0.00179,13.02970028,0.000215,0.000211,51.05599976,0.107111,0.009042,17.75469971,0.000326,5.468619823,402.353,1172.09,966.08,1302.05,1185.72,112.9357529,68.47673798,34.15399551,71.87799072,14.62277985,114.4700012
3/10/17,1116.719971,4.50E-05,0.006227,0.009941,3.752170086,0.003504,0.149664,1.50E-05,0.038265001,0.001733,13.21420002,0.000202,0.000204,50.42240143,0.096487001,0.009141,19.33230019,0.000315,5.981810093,390.504,1217.62,985.24,1342.52,1232.06,113.3443985,68.26449585,34.42131805,72.02165222,14.48675346,114.7200012
3/11/17,1175.829956,5.40E-05,0.006238,0.010258,3.798000097,0.003579,0.158774003,2.40E-05,0.043010999,0.001788,14.6868,0.000223,0.000211,72.92849731,0.128738999,0.009836,21.47249985,0.000332,6.015590191,419.168,1159.48,957.69,1256.62,1174.35,113.4279785,68.43429565,34.581707,71.87799072,14.46732235,114.7399979
3/12/17,1221.380005,4.90E-05,0.006255,0.01087,3.842570066,0.003704,0.169551998,3.00E-05,0.040346,0.001847,16.79190063,0.000246,0.000229,77.07569885,0.131760001,0.009894,23.43770027,0.000367,7.324769974,440.605,1237.78,1026.16,1319.16,1255.47,113.4279785,68.43429565,34.581707,71.87799072,14.46732235,114.7399979
3/13/17,1231.920044,4.90E-05,0.006385,0.011499,4.170539856,0.004058,0.183796003,2.40E-05,0.042135999,0.001965,18.13260078,0.000246,0.000247,74.61460114,0.146078005,0.010914,28.59289932,0.000404,7.745969772,467.41,1292.06,1119.46,1403.05,1311.03,113.4279785,68.43429565,34.581707,71.87799072,14.46732235,114.7399979
3/14/17,1240,5.10E-05,0.006381,0.012535,4.055190086,0.004314,0.172607005,2.50E-05,0.041689001,0.001918,17.75979996,0.000259,0.000238,88.24169922,0.177879006,0.011614,28.65460014,0.000408,8.370019913,473.896,1331.64,1238.92,1569.88,1350.79,113.0193253,68.41731262,34.32330322,71.8690033,14.40902519,114.1200027
3/15/17,1249.609985,5.10E-05,0.006314,0.01271,4.160870075,0.005242,0.184982002,2.80E-05,0.041609999,0.001953,18.9836998,0.000261,0.000243,95.08879852,0.195749,0.011238,35.05590057,0.000393,9.996459961,501.898,1344.39,1237.3,1632.48,1366.78,114.0409546,69.80110931,34.85792542,72.31800079,14.53533459,116.25
3/16/17,1187.810059,5.60E-05,0.006394,0.011759,4.237100124,0.004424,0.189640999,2.70E-05,0.041827999,0.00197,22.48349953,0.000248,0.000235,89.81060028,0.171746999,0.011102,46.34579849,0.00043,9.601679802,525.749,1391.88,1323.52,1709.89,1417.49,113.9016342,69.66527557,35.00049973,72.21024323,14.51590157,116.7300034
3/17/17,1100.22998,4.60E-05,0.006116,0.011961,4.055099964,0.005011,0.172175005,2.20E-05,0.0425,0.001957,22.3512001,0.000264,0.000223,99.14019775,0.177282006,0.011788,46.82799911,0.000388,8.082420349,509.983,1382.3,1365.91,1725.02,1409.41,113.8366394,69.98789978,35.05396271,72.35389709,14.56448269,116.9899979
3/18/17,973.8179932,4.20E-05,0.00671,0.010521,3.967619896,0.004515,0.151130006,2.50E-05,0.039894,0.001877,20.06620026,0.000242,0.000219,109.2429962,0.170488998,0.011958,34.16019821,0.000375,6.898789883,463.487,1318.19,1266.7,1640.77,1346.03,113.567276,69.92845917,35.03613663,72.49755096,14.55476665,117.5100021
3/19/17,1036.73999,4.20E-05,0.006912,0.011462,3.956409931,0.004797,0.166171998,2.10E-05,0.039820999,0.001916,23.28759956,0.000269,0.000235,108.2289963,0.179683998,0.016474999,44.74010086,0.000403,8.433710098,517.544,1167.69,1221.8,1445.13,1185.55,113.567276,69.92845917,35.03613663,72.49755096,14.55476665,117.5100021
